ingredient_id,canonical_name,synonyms
INCI_00001,alpha-glucan oligosaccharide,['alpha-glucan oligosaccharide']
INCI_00002,aloe vera,['aloe vera']
INCI_00003,allantoin,['allantoin']
INCI_00004,algin,['algin']
INCI_00005,algae extract,['algae extract']
INCI_00006,algae exopolysaccharides,['algae exopolysaccharides']
INCI_00007,alaria esculenta extract,['alaria esculenta extract']
INCI_00008,alanine,['alanine']
INCI_00009,ahnfeltia concinna extract,['ahnfeltia concinna extract']
INCI_00010,adenosine,['adenosine']
INCI_00011,acetyl tyrosinamide,['acetyl tyrosinamide']
INCI_00012,acetyl tetrapeptide,['acetyl tetrapeptide']
INCI_00013,acetyl glucosamine,['acetyl glucosamine']
INCI_00014,acetylarginyltryptophyl diphenylglycine,['acetylarginyltryptophyl diphenylglycine']
INCI_00015,acai extract,['acai extract']
INCI_00016,ascorbic acid,['ascorbic acid']
INCI_00017,ascophyllum nodosum extract,['ascophyllum nodosum extract']
INCI_00018,arginine pca,['arginine pca']
INCI_00019,arginine/lysine polypeptide,['arginine/lysine polypeptide']
INCI_00020,arginine hcl,['arginine hcl']
INCI_00021,arginine,['arginine']
INCI_00022,argan oil,['argan oil']
INCI_00023,arbutin,['arbutin']
INCI_00024,aquagenium,['aquagenium']
INCI_00025,apple stem cells,['apple stem cells']
INCI_00026,,[nan]
INCI_00027,apple polyphenols,['apple polyphenols']
INCI_00028,apple extract,['apple extract']
INCI_00029,anti-ageing peptides,['anti-ageing peptides']
INCI_00030,amino acids,['amino acids']
INCI_00031,alteromonas ferment extract,['alteromonas ferment extract']
INCI_00032,bifida ferment lysate,['bifida ferment lysate']
INCI_00033,beta glucan,['beta glucan']
INCI_00034,bakuchiol,['bakuchiol']
INCI_00035,azelaoyl bis-dipeptide,['azelaoyl bis-dipeptide']
INCI_00036,azelaic acid,['azelaic acid']
INCI_00037,avocado oil,['avocado oil']
INCI_00038,avocado ferment,['avocado ferment']
INCI_00039,avene thermal water,['avene thermal water']
INCI_00040,asparagopsis armata extract,['asparagopsis armata extract']
INCI_00041,ascorbyl palmitate,['ascorbyl palmitate']
INCI_00042,ascorbyl glucoside,['ascorbyl glucoside']
INCI_00043,caffeine,['caffeine']
INCI_00044,caffeic acid,['caffeic acid']
INCI_00045,cabbage leaf extract,['cabbage leaf extract']
INCI_00046,butyl methoxydibenzoylmethane,['butyl methoxydibenzoylmethane']
INCI_00047,blue mallow extract,['blue mallow extract']
INCI_00048,blue lotus extract,['blue lotus extract']
INCI_00049,blueberry extract,['blueberry extract']
INCI_00050,bilberry extract,['bilberry extract']
INCI_00051,bis-ethylhexyloxyphenol methoxyphenyl triazine,['bis-ethylhexyloxyphenol methoxyphenyl triazine']
INCI_00052,bisabolol,['bisabolol']
INCI_00053,bio-active glucosides,['bio-active glucosides']
INCI_00054,chondrus crispus,['chondrus crispus']
INCI_00055,cholesterol,['cholesterol']
INCI_00056,chlorophyll,['chlorophyll']
INCI_00057,chlorella vulgaris extract,['chlorella vulgaris extract']
INCI_00058,chamomile extract,['chamomile extract']
INCI_00059,chlorella protothecoides oil,['chlorella protothecoides oil']
INCI_00060,ceramides,['ceramides']
INCI_00061,chlorella protothecoides,['chlorella protothecoides']
INCI_00062,chemical uv filters,['chemical uv filters']
INCI_00063,caprooyl sphingosine,['caprooyl sphingosine']
INCI_00064,centella asiatica,['centella asiatica']
